model,TAD,mean_cp_sim,mean_cp_dig
1,0.25,2.237087036,0.16
1,0.75,3.533896251,8.21
1,1.5,3.274731048,6.03
1,2,2.84781333,4.67
1,3,2.077159446,3.98
1,4,1.5277756,2.373333333
1,6,0.896944327,1.03
1,12,0.326553994,0.21
2,0,0,0.65
2,0.3,3.058897398,7.21
2,0.6,3.896054944,13.1
2,1,3.896954258,12.61
2,1.5,3.377761321,9.89
2,3,1.891311824,5.51
2,4,1.340838314,3.85
2,6,0.805415496,3.01
2,9,0.51926353,1.97
3,0,0,2.316666667
3,1,3.629641566,3.56547619
3,2,2.817165863,3.070535714
3,3,2.015458041,2.59625
3,4,1.472718873,2.334090909
5,0,0,0.26
5,0.3,3.013740542,0.33
5,0.6,3.828334704,6.01
5,2,2.631906877,2.45
5,6,0.700047054,0.49
5,8,0.491253062,0.46
5,12,0.323846378,0.25
13,0,0,1.896666667
13,0.25,2.583896718,2.47
13,0.3,2.815719945,4.049090909
13,0.5,3.317976268,8.018333333
13,0.6,3.409822175,12.11
13,0.75,3.436952794,13.68142857
13,1,3.317998973,13.9325
13,1.25,3.106332637,13.06
13,1.5,2.865124801,10.522
13,2,2.393938434,7.1725
13,2.5,1.990906506,6.02
13,3,1.664691101,4.226666667
13,4,1.199984798,3.133
13,5,0.906771787,2.653333333
13,6,0.717128649,2.338333333
13,8,0.502175221,2.123333333
13,10,0.391508153,1.952857143
13,12,0.325987655,1.846666667
4,0,0,0
4,0.5,5.66588996,6.5
4,1,5.431247108,2.54
4,2,3.597231687,0.56
4,6,1.22246316,0.28
4,12,0.680661966,0.2
7,0.3,3.711061712,3.795
7,0.6,4.778149078,8.678888889
7,1,4.699387647,13.22833333
7,1.5,3.942418889,12.198
7,2,3.162628757,8.614545455
7,3,2.057102732,5.65875
7,4,1.440614895,3.495555556
7,6,0.879148414,2.912222222
7,9,0.575591225,2.86625
7,12,0.440394943,2.91
21,0,0,1.49
21,0.5,8.322955716,10.845
21,3,3.29115687,6.66
21,4,2.314314914,4.36
21,6,1.432756128,2.935
21,8,1.069677482,1.76
21,10,0.873380744,0.98
21,12,0.744418866,1.55
22,0.6,3.216192166,1.0925
22,1,3.207903123,2.134444444
22,1.5,2.725957953,3.709
22,2,2.200163883,3.665333333
22,3,1.419580424,2.66
22,4,0.971306483,1.726842105
22,6,0.566435879,1.198888889
22,9,0.356992336,1.043
23,0,0,7.988461538
23,0.5,5.080178173,11.76545455
23,1,5.325075033,7.793157895
23,2,3.968704535,4.101666667
23,4,2.214799619,2.777173913
23,8,1.013503874,2.3684
23,12,0.584357452,2.320357143
