"time","cp","cp2"
0.02,0.00173,1.08125
0.04,0.00189,1.18125
0.06,0.00196,1.225
0.08,0.00203,1.26875
0.1,0.0021,1.3125
0.11,0.00216,1.35
0.12,0.00221,1.38125
0.14,0.00229,1.43125
0.15,0.00234,1.4625
0.17,0.00242,1.5125
0.19,0.00249,1.55625
0.22,0.0026,1.625
0.25,0.00273,1.70625
0.28,0.00288,1.8
0.31,0.00301,1.88125
0.34,0.00311,1.94375
0.37,0.00323,2.01875
0.39,0.00331,2.06875
0.41,0.0034,2.125
0.43,0.00348,2.175
0.44,0.00355,2.21875
0.47,0.00368,2.3
0.5,0.00376,2.35
0.52,0.00388,2.425
0.56,0.00403,2.51875
0.59,0.00413,2.58125
0.61,0.00424,2.65
0.63,0.00436,2.725
0.67,0.0045,2.8125
0.7,0.00462,2.8875
0.73,0.00475,2.96875
0.75,0.00483,3.01875
0.77,0.00492,3.075
0.81,0.00506,3.1625
0.83,0.00517,3.23125
0.87,0.0053,3.3125
0.89,0.00541,3.38125
0.91,0.00548,3.425
0.92,0.00554,3.4625
0.95,0.00562,3.5125
0.96,0.00571,3.56875
0.97,0.00577,3.60625
1,0.00584,3.65
1.02,0.00589,3.68125
1.06,0.00587,3.66875
1.1,0.00583,3.64375
1.14,0.00581,3.63125
1.18,0.00581,3.63125
1.23,0.00579,3.61875
1.27,0.00577,3.60625
1.31,0.00576,3.6
1.37,0.00574,3.5875
1.43,0.00572,3.575
1.5,0.0057,3.5625
1.54,0.00566,3.5375
1.61,0.00564,3.525
1.65,0.00564,3.525
1.72,0.00561,3.50625
1.77,0.00559,3.49375
1.81,0.00557,3.48125
1.87,0.00554,3.4625
1.91,0.00552,3.45
1.97,0.0055,3.4375
2.02,0.00549,3.43125
2.04,0.00545,3.40625
2.1,0.0054,3.375
2.16,0.00532,3.325
2.21,0.00526,3.2875
2.25,0.00523,3.26875
2.3,0.00516,3.225
2.35,0.0051,3.1875
2.4,0.00504,3.15
2.47,0.00498,3.1125
2.52,0.00489,3.05625
2.58,0.00484,3.025
2.63,0.00478,2.9875
2.69,0.00471,2.94375
2.73,0.00467,2.91875
2.79,0.00459,2.86875
2.84,0.00454,2.8375
2.88,0.00449,2.80625
2.93,0.00444,2.775
2.96,0.00441,2.75625
2.99,0.00438,2.7375
3.03,0.00433,2.70625
3.07,0.00429,2.68125
3.11,0.00426,2.6625
3.16,0.00422,2.6375
3.21,0.00419,2.61875
3.25,0.00416,2.6
3.32,0.00408,2.55
3.36,0.00405,2.53125
3.41,0.00401,2.50625
3.47,0.00395,2.46875
3.5,0.00394,2.4625
3.54,0.00391,2.44375
3.6,0.00386,2.4125
3.65,0.0038,2.375
3.7,0.00378,2.3625
3.72,0.00375,2.34375
3.8,0.00369,2.30625
3.84,0.00366,2.2875
3.9,0.0036,2.25
3.94,0.00357,2.23125
3.99,0.00352,2.2
