time,cp
0,0
0.81,6.5
1.71,2.54
3.35,0.56
6,0.28
12.11,0.2
12.64,6.7
13.6,2.81
15.91,0.79
17.78,0.49
23.8,0.43
24.62,6.9
26.13,2.97
27.91,0.97
30.14,0.69
35.34,0.62
36.69,7.1
37.84,3.17
39.95,1.21
42.41,0.82
48.3,0.82
48.86,7.26
49.82,3.36
51.52,1.37
53.91,1.06
60.13,0.97
60.55,7.46
61.92,3.55
64.04,1.53
65.93,1.23
72.3,1.11
72.79,7.63
74.11,3.69
75.72,1.67
77.77,1.39
83.65,1.31
85.12,7.76
85.72,3.82
88.2,1.8
90.81,1.5
96,1.42
97.26,7.91
97.92,3.98
100.07,1.95
102.46,1.63
108.21,1.56
109,8.03
110.13,4.13
111.6,2.09
114.17,1.76
119.8,1.68
121.07,8.14
122.04,4.26
124.14,2.19
126.33,1.89
131.72,1.78
133.17,8.28
134.01,4.37
135.94,2.31
137.92,1.99
144.01,1.88
145.09,8.4
146.17,4.47
148.17,2.39
149.74,2.11
156.34,2
157.06,8.5
157.88,4.53
159.83,2.51
162.54,2.17
167.95,2.09
169.03,8.56
169.92,4.65
172.52,2.62
174.47,2.28
180.54,2.14
180.92,8.63
182.3,4.7
184.16,2.68
185.92,2.4
192.02,2.28
193.26,8.75
194.57,4.8
196.34,2.79
198.39,2.44
203.9,2.33
205.15,8.84
206.13,4.89
207.91,2.82
210.47,2.53
216.86,2.38
216.97,8.85
218.07,4.93
220.07,2.89
221.99,2.6
228.59,2.46
229.3,8.96
230.35,4.99
232.6,2.96
233.85,2.66
240.71,2.5
241.38,8.59
242.11,8.93
241.79,6.59
242.58,5.58
241.96,5.04
244.4,3.05
246.63,2.75
248.79,2.68
252.08,2.61
