time,cp
0.45,3.08
0.58,4.51
0.66,5.4
0.77,6.43
0.81,7.35
0.82,7.88
0.87,8.63
0.92,9.43
0.97,10.28
0.96,11.13
0.98,11.58
1,12.24
1.05,13.06
1.08,13.6
1.2,13.63
1.32,13.47
1.45,13.37
1.64,13.23
1.7,12.9
1.82,12.04
1.87,11.65
1.95,11.17
2,10.88
2.08,10.36
2.17,9.65
2.23,9.36
2.32,8.74
2.38,8.34
2.5,8.05
2.62,7.71
2.74,7.48
2.85,7.18
2.92,7.01
3.05,6.64
3.18,6.35
3.33,6.06
3.45,5.93
3.56,5.44
3.67,5.2
3.78,4.94
3.91,4.71
4.09,4.21
4.27,3.87
4.43,3.51
4.61,3.51
4.85,3.34
5.05,3.41
5.28,3.28
5.5,3.25
5.79,3.08
6,3.08
6.2,2.92
6.36,2.92
6.53,2.98
6.72,3.06
6.9,3.03
7.09,2.92
7.25,2.89
7.4,2.89
7.53,2.9
7.71,2.9
7.92,2.87
8.04,2.87
8.15,2.83
8.34,2.83
8.55,2.83
8.76,2.83
8.94,2.87
9.22,2.84
9.42,2.91
9.63,2.91
9.89,2.88
10.17,2.88
10.41,2.81
10.65,2.88
10.86,2.82
11.12,2.71
11.33,2.98
11.55,2.98
11.77,2.94
11.86,2.94
