time,cp
0.18,1.73
0.22,1.91
0.22,2.05
0.26,2.21
0.26,2.3
0.27,2.4
0.27,2.49
0.31,2.65
0.31,2.77
0.33,2.95
0.33,3.1
0.37,3.31
0.38,3.51
0.39,3.68
0.4,3.89
0.41,4.18
0.44,4.52
0.46,4.81
0.47,5.19
0.49,5.4
0.5,5.86
0.51,6.37
0.52,6.55
0.55,6.92
0.55,7.03
0.55,7.5
0.58,8.01
0.58,8.33
0.6,9.22
0.61,9.62
0.64,10.15
0.64,10.66
0.68,12.11
0.76,12.6
0.81,12.95
0.83,13.31
0.86,13.74
0.89,14.05
0.9,14.43
0.93,14.69
1,14.24
1.1,13.99
1.15,13.75
1.2,13.75
1.29,13.39
1.38,13.04
1.46,12.75
1.54,12.59
1.62,12.24
1.67,11.88
1.71,11.41
1.77,10.69
1.82,10.3
1.86,9.77
1.9,9.21
1.96,8.81
1.98,8.32
2.01,8.06
2.07,7.67
2.13,7.44
2.16,7.15
2.2,6.93
2.28,6.8
2.34,6.74
2.42,6.59
2.53,6.44
2.6,6.44
2.66,6.38
2.71,6.24
2.77,5.92
2.84,5.73
2.88,5.63
2.92,5.38
3.03,5.11
3.12,4.81
3.18,4.64
3.25,4.53
3.33,4.43
3.42,4.27
3.51,4.14
3.59,3.98
3.7,3.82
3.77,3.77
3.83,3.68
3.92,3.54
4,3.48
4.11,3.31
4.18,3.26
4.28,3.19
4.42,3.1
4.47,3.1
4.58,3.05
4.74,3.01
4.87,2.94
4.97,2.89
5.08,2.87
5.21,2.81
5.33,2.75
5.48,2.65
5.62,2.63
5.69,2.61
5.8,2.55
5.88,2.51
5.97,2.5
6.1,2.45
6.19,2.45
6.31,2.39
6.42,2.36
6.5,2.36
6.57,2.36
6.65,2.36
6.78,2.36
6.87,2.36
6.96,2.35
7.11,2.35
7.28,2.32
7.45,2.29
7.57,2.29
7.68,2.29
7.8,2.25
7.88,2.25
7.98,2.25
8.1,2.25
8.19,2.24
8.36,2.19
8.52,2.16
8.63,2.16
8.73,2.14
8.83,2.14
8.98,2.13
9.12,2.09
9.28,2.09
9.4,2.09
9.55,2.08
9.71,2.05
9.89,2.04
9.99,2
10.13,2
10.26,1.99
10.4,1.99
10.51,1.98
10.7,1.91
10.79,1.9
10.9,1.9
11.05,1.88
11.21,1.88
11.36,1.84
11.46,1.85
11.57,1.85
11.73,1.83
11.81,1.83
11.9,1.83
11.94,1.83
