time,cp
0.83,0.93
0.83,0.95
0.85,0.99
0.85,1.06
0.93,1.14
0.94,1.17
0.97,1.22
0.97,1.28
1.01,1.38
1.02,1.44
1.07,1.53
1.1,1.58
1.1,1.66
1.14,1.74
1.15,1.81
1.17,1.94
1.2,2.03
1.21,2.13
1.27,2.26
1.3,2.33
1.33,2.46
1.35,2.59
1.41,2.72
1.45,2.86
1.46,2.93
1.47,3.03
1.51,3.17
1.54,3.33
1.57,3.47
1.59,3.62
1.62,3.76
1.66,3.86
1.74,3.89
1.81,3.95
1.91,4.02
1.98,4.02
2.04,4.01
2.12,4.01
2.16,4.01
2.22,3.99
2.32,3.99
2.38,3.93
2.43,3.85
2.47,3.72
2.57,3.61
2.61,3.57
2.73,3.41
2.79,3.31
2.84,3.26
2.94,3.18
2.99,3.13
3.03,3.09
3.12,3
3.2,2.91
3.3,2.83
3.42,2.72
3.52,2.59
3.62,2.51
3.72,2.41
3.87,2.31
3.98,2.23
4.02,2.2
4.1,2.14
4.26,2.08
4.36,2
4.44,1.96
4.5,1.91
4.62,1.84
4.74,1.75
4.81,1.71
4.94,1.65
5.02,1.63
5.15,1.6
5.24,1.56
5.33,1.56
5.47,1.49
5.58,1.46
5.69,1.45
5.76,1.43
5.86,1.39
6,1.37
6.09,1.35
6.2,1.32
6.28,1.3
6.36,1.27
6.49,1.24
6.57,1.22
6.69,1.19
6.81,1.18
6.97,1.17
7.05,1.15
7.18,1.14
7.33,1.14
7.48,1.12
7.59,1.12
7.7,1.11
7.77,1.1
7.91,1.09
8.01,1.08
8.09,1.07
8.2,1.06
8.33,1.05
8.39,1.05
8.53,1.03
8.74,1.04
8.84,1.03
8.92,1.01
9.01,1.01
