time,cp
0.03,0.39
0.05,1.86
0.11,3.22
0.13,3.79
0.16,4.36
0.16,4.97
0.19,5.43
0.21,5.92
0.23,6.38
0.25,6.9
0.26,7.39
0.29,7.64
0.3,8.01
0.31,8.42
0.32,8.77
0.35,9.25
0.37,9.66
0.39,10.29
0.41,10.61
0.41,11
0.42,11.46
0.44,11.71
0.45,12.07
0.46,12.54
0.47,12.72
0.49,12.94
0.54,12.73
0.57,12.55
0.61,12.36
0.64,12.17
0.66,11.93
0.71,11.85
0.75,11.66
0.79,11.43
0.83,11.22
0.87,10.94
0.94,10.58
1,10.36
1.05,10.15
1.1,9.78
1.15,9.62
1.18,9.34
1.22,9.07
1.28,8.81
1.35,8.52
1.39,8.15
1.44,7.88
1.5,7.54
1.58,7.09
1.65,6.76
1.71,6.46
1.75,6.19
1.8,5.93
1.84,5.72
1.89,5.51
1.98,5.19
2.02,4.92
2.1,4.79
2.18,4.74
2.27,4.71
2.36,4.66
2.45,4.61
2.5,4.55
2.57,4.46
2.69,4.38
2.78,4.24
2.88,4.19
2.96,4.14
3.02,4.03
3.09,4.01
3.15,3.93
3.23,3.82
3.33,3.77
3.42,3.71
3.53,3.68
3.6,3.6
3.71,3.5
3.78,3.44
3.85,3.41
3.93,3.15
4.01,3.04
4.09,3.07
4.18,3.1
4.25,3.07
4.35,3.01
4.42,3.1
4.53,3.04
4.63,3.04
4.73,3.02
4.83,2.99
4.9,3.02
4.97,2.94
5.03,2.97
5.13,2.91
5.21,2.91
5.33,2.91
5.45,2.88
5.55,2.85
5.64,2.85
5.7,2.88
5.79,2.85
5.85,2.85
5.91,2.82
5.97,2.8
6.06,2.85
6.17,2.77
6.27,2.74
6.34,2.74
6.45,2.68
6.54,2.66
6.6,2.68
6.71,2.6
6.76,2.58
6.81,2.63
6.92,2.6
7.03,2.57
7.13,2.57
7.23,2.57
7.33,2.52
7.39,2.57
7.48,2.48
7.57,2.45
7.66,2.42
7.75,2.4
7.84,2.4
7.89,2.35
8,2.36
8.08,2.38
8.16,2.36
8.24,2.36
8.33,2.33
8.41,2.39
8.52,2.44
8.58,2.42
8.68,2.36
8.74,2.36
8.8,2.36
8.85,2.36
8.91,2.36
8.98,2.39
9.06,2.39
9.13,2.34
9.2,2.34
9.27,2.39
9.36,2.4
9.47,2.4
9.56,2.37
9.67,2.37
9.76,2.32
9.87,2.32
9.95,2.34
10.03,2.33
10.1,2.3
10.16,2.28
10.23,2.3
10.32,2.3
10.38,2.3
10.44,2.36
10.51,2.36
10.6,2.3
10.68,2.3
10.75,2.33
10.82,2.3
10.91,2.28
10.99,2.28
11.08,2.28
11.18,2.33
11.26,2.33
11.3,2.33
11.41,2.36
11.51,2.33
11.62,2.33
11.67,2.33
11.71,2.36
11.77,2.34
11.83,2.34
11.88,2.34
11.92,2.31
11.95,2.34
